Future_Day,Predicted_Revenue
1,17717.765062663377
2,17729.496583336586
3,17741.228104009795
4,17752.959624683008
5,17764.691145356217
6,17776.422666029426
7,17788.154186702635
8,17799.885707375848
9,17811.617228049057
10,17823.348748722266
11,17835.080269395476
12,17846.811790068685
13,17858.543310741894
14,17870.274831415103
15,17882.006352088312
16,17893.73787276152
17,17905.46939343473
18,17917.200914107943
19,17928.932434781153
20,17940.66395545436
21,17952.395476127575
22,17964.126996800784
23,17975.858517473993
24,17987.590038147202
25,17999.32155882041
26,18011.05307949362
27,18022.78460016683
28,18034.51612084004
29,18046.247641513248
30,18057.979162186457
